"team1","team2"
Bournemouth,Burnley
Bournemouth,Chelsea
Bournemouth,Crystal Palace
Bournemouth,Everton
Bournemouth,Leicester
Bournemouth,Liverpool
Bournemouth,London Guns
Bournemouth,Manchester Blue
Bournemouth,Manchester Reds
Bournemouth,Newcastle
Bournemouth,Southampton
Bournemouth,Tottenham
Bournemouth,Watford
Bournemouth,West Ham
Bournemouth,Wolverhampton
Burnley,Chelsea
Burnley,Crystal Palace
Burnley,Everton
Burnley,Leicester
Burnley,Liverpool
Burnley,London Guns
Burnley,Manchester Blue
Burnley,Manchester Reds
Burnley,Newcastle
Burnley,Southampton
Burnley,Tottenham
Burnley,Watford
Burnley,West Ham
Burnley,Wolverhampton
Chelsea,Crystal Palace
Chelsea,Everton
Chelsea,Leicester
Chelsea,Liverpool
Chelsea,London Guns
Chelsea,Manchester Blue
Chelsea,Manchester Reds
Chelsea,Newcastle
Chelsea,Southampton
Chelsea,Tottenham
Chelsea,Watford
Chelsea,West Ham
Chelsea,Wolverhampton
Crystal Palace,Everton
Crystal Palace,Leicester
Crystal Palace,Liverpool
Crystal Palace,London Guns
Crystal Palace,Manchester Blue
Crystal Palace,Manchester Reds
Crystal Palace,Newcastle
Crystal Palace,Southampton
Crystal Palace,Tottenham
Crystal Palace,Watford
Crystal Palace,West Ham
Crystal Palace,Wolverhampton
Everton,Leicester
Everton,Liverpool
Everton,London Guns
Everton,Manchester Blue
Everton,Manchester Reds
Everton,Newcastle
Everton,Southampton
Everton,Tottenham
Everton,Watford
Everton,West Ham
Everton,Wolverhampton
Leicester,Liverpool
Leicester,London Guns
Leicester,Manchester Blue
Leicester,Manchester Reds
Leicester,Newcastle
Leicester,Southampton
Leicester,Tottenham
Leicester,Watford
Leicester,West Ham
Leicester,Wolverhampton
Liverpool,London Guns
Liverpool,Manchester Blue
Liverpool,Manchester Reds
Liverpool,Newcastle
Liverpool,Southampton
Liverpool,Tottenham
Liverpool,Watford
Liverpool,West Ham
Liverpool,Wolverhampton
London Guns,Manchester Blue
London Guns,Manchester Reds
London Guns,Newcastle
London Guns,Southampton
London Guns,Tottenham
London Guns,Watford
London Guns,West Ham
London Guns,Wolverhampton
Manchester Blue,Manchester Reds
Manchester Blue,Newcastle
Manchester Blue,Southampton
Manchester Blue,Tottenham
Manchester Blue,Watford
Manchester Blue,West Ham
Manchester Blue,Wolverhampton
Manchester Reds,Newcastle
Manchester Reds,Southampton
Manchester Reds,Tottenham
Manchester Reds,Watford
Manchester Reds,West Ham
Manchester Reds,Wolverhampton
Newcastle,Southampton
Newcastle,Tottenham
Newcastle,Watford
Newcastle,West Ham
Newcastle,Wolverhampton
Southampton,Tottenham
Southampton,Watford
Southampton,West Ham
Southampton,Wolverhampton
Tottenham,Watford
Tottenham,West Ham
Tottenham,Wolverhampton
Watford,West Ham
Watford,Wolverhampton
West Ham,Wolverhampton